General terms,,,UNESCO domains,,,Transversal domains,
"""Cultural and creative industr*""",73,,Cultural and natural heritage,65,,cultural knowledge,
"""CCIs""",30,,"""cultural heritage""",2769,,"""cultural knowledge""",64
"""Creative industr*""",282,,"""natural heritage""",208,,,
"""Cultural industr*""",103,,"""heritage conservation""",566,,,
"""Cultural organization*""",181,,"""museum*""",845,,festivals,
"""Creative econom*""",130,,,,,"""festival*""",516
"""Cultural entrepreneur*""",25,,Performing arts,88,,,
"""Creative entrepreneur*""",32,,"""theatr* production""",15,,,
,,,"""live performance""",11,,interactive media,
,,,"""theatr*"" AND ""cultur*""",81,,"""interactive media""",11
,,,"""theatr*"" AND ""creativ*""",43,,,
,,,"""dance"" AND ""cultur*""",86,,,
,,,"""dance"" AND ""creativ*""",34,,cultural governance and management,
,,,,,,"""cultural policy""",179
,,,Visual arts and crafts,0,,"""cultural governance""",17
,,,"""visual art*""",93,,"""cultural management""",63
,,,"""contemporary art*""",101,,,
,,,"""fine arts""",49,,cultural education,
,,,"""art market""",26,,"""cultural education""",27
,,,"""traditional craft*""",106,,,
,,,"""handicraft*""",186,,cultural tourism,
,,,"""artisan*"" AND ""cultur*""",169,,"""cultural tourism""",443
,,,"""artisan*"" AND ""creativ*""",42,,,
,,,"""craft* industr*""",29,,,
,,,,,,,
,,,Audiovisual,97,,,
,,,"""film industry""",52,,,
,,,"""filmmaking""",31,,,
,,,"""television industry""",11,,,
,,,"""broadcasting""",100,,,
,,,"""media production""",27,,,
,,,"""streaming platform*""",21,,,
,,,,,,,
,,,Books and press,0,,,
,,,"""book publishing""",11,,,
,,,"""publishing industry""",25,,,
,,,"""publishing sector""",5,,,
,,,"""book market""",7,,,
,,,"""literary"" AND ""cultur*""",156,,,
,,,"""literary"" AND ""creativ*""",34,,,
,,,"""newspaper industry""",10,,,
,,,"""newspaper*"" AND ""cultur*""",72,,,
,,,"""newspaper*"" AND ""creativ*""",7,,,
,,,"""journalism""",290,,,
,,,,,,,
,,,Music,,,,
,,,"""music industry""",53,,,
,,,"""music sector""",6,,,
,,,"""music production""",17,,,
,,,"""music streaming""",13,,,
,,,"""music"" AND ""cultur*""",369,,,
,,,"""music"" AND ""creativ*""",148,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,Design,,,,
,,,"""fashion design""",162,,,
,,,"""design industry""",44,,,
,,,"""graphic design""",47,,,
,,,"""interior design""",194,,,
,,,"""architect* design"" AND ""creativ*""",55,,,
,,,"""architectural design"" AND ""cultur*""",216,,,